s,v,T_stride,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,abs_lam1,abs_lam2,abs_lam3,stable
1.258818,0.355518,3.540799,-1.00000000,0.00000000,0.20898389,0.00000000,0.00000000,0.00000000,1.00000000,0.20898389,0.00000000,1
1.261723,0.356485,3.539340,-1.00000000,0.00000000,0.20532372,0.00000000,0.00000000,0.00000000,1.00000000,0.20532372,0.00000000,1
1.264629,0.357455,3.537869,-1.00000000,0.00000000,0.20165540,0.00000000,0.00000000,0.00000000,1.00000000,0.20165540,0.00000000,1
1.267535,0.358427,3.536384,-1.00000000,0.00000000,0.19797892,0.00000000,0.00000000,0.00000000,1.00000000,0.19797892,0.00000000,1
1.270441,0.359401,3.534886,-1.00000000,0.00000000,0.19429430,0.00000000,0.00000000,0.00000000,1.00000000,0.19429430,0.00000000,1
1.273347,0.360377,3.533376,-1.00000000,0.00000000,0.19060154,0.00000000,-0.00000000,0.00000000,1.00000000,0.19060154,0.00000000,1
1.276253,0.361355,3.531853,-1.00000000,0.00000000,0.18690062,0.00000000,-0.00000000,0.00000000,1.00000000,0.18690062,0.00000000,1
1.279158,0.362335,3.530318,-1.00000000,0.00000000,0.18319155,0.00000000,0.00000000,0.00000000,1.00000000,0.18319155,0.00000000,1
1.282064,0.363317,3.528771,-1.00000000,0.00000000,0.17947432,0.00000000,0.00000000,0.00000000,1.00000000,0.17947432,0.00000000,1
1.284970,0.364302,3.527211,-1.00000000,0.00000000,0.17574893,0.00000000,0.00000000,0.00000000,1.00000000,0.17574893,0.00000000,1
1.287876,0.365288,3.525640,-1.00000000,0.00000000,0.17201537,0.00000000,-0.00000000,0.00000000,1.00000000,0.17201537,0.00000000,1
1.290782,0.366277,3.524058,-1.00000000,0.00000000,0.16827362,0.00000000,0.00000000,0.00000000,1.00000000,0.16827362,0.00000000,1
1.293687,0.367268,3.522465,-1.00000000,0.00000000,0.16452367,0.00000000,0.00000000,0.00000000,1.00000000,0.16452367,0.00000000,1
1.296593,0.368260,3.520863,-1.00000000,0.00000000,0.16076551,0.00000000,0.00000000,0.00000000,1.00000000,0.16076551,0.00000000,1
1.299499,0.369255,3.519250,-1.00000000,0.00000000,0.15699910,0.00000000,0.00000000,0.00000000,1.00000000,0.15699910,0.00000000,1
1.302405,0.370251,3.517629,-1.00000000,0.00000000,0.15322442,0.00000000,0.00000000,0.00000000,1.00000000,0.15322442,0.00000000,1
1.305311,0.371249,3.516001,-1.00000000,0.00000000,0.14944143,0.00000000,-0.00000000,0.00000000,1.00000000,0.14944143,0.00000000,1
1.308216,0.372248,3.514367,-1.00000000,0.00000000,0.14565007,0.00000000,0.00000000,0.00000000,1.00000000,0.14565007,0.00000000,1
1.311122,0.373249,3.512729,-1.00000000,0.00000000,0.14185029,0.00000000,0.00000000,0.00000000,1.00000000,0.14185029,0.00000000,1
1.314028,0.374251,3.511089,-1.00000000,0.00000000,0.13804199,0.00000000,0.00000000,0.00000000,1.00000000,0.13804199,0.00000000,1
1.316934,0.375254,3.509449,-1.00000000,0.00000000,0.13422509,0.00000000,-0.00000000,0.00000000,1.00000000,0.13422509,0.00000000,1
1.319840,0.376257,3.507814,-1.00000000,0.00000000,0.13039942,0.00000000,0.00000000,0.00000000,1.00000000,0.13039942,0.00000000,1
1.322745,0.377260,3.506189,-1.00000000,0.00000000,0.12656482,0.00000000,0.00000000,0.00000000,1.00000000,0.12656482,0.00000000,1
1.325651,0.378263,3.504579,-1.00000000,0.00000000,0.12272103,0.00000000,0.00000000,0.00000000,1.00000000,0.12272103,0.00000000,1
1.328557,0.379263,3.502994,-1.00000000,0.00000000,0.11886773,0.00000000,0.00000000,0.00000000,1.00000000,0.11886773,0.00000000,1
1.331463,0.380261,3.501444,-1.00000000,0.00000000,0.11500447,0.00000000,-0.00000000,0.00000000,1.00000000,0.11500447,0.00000000,1
1.334369,0.381254,3.499946,-1.00000000,0.00000000,0.11113061,0.00000000,0.00000000,0.00000000,1.00000000,0.11113061,0.00000000,1
1.337275,0.382240,3.498522,-1.00000000,0.00000000,0.10724531,0.00000000,0.00000000,0.00000000,1.00000000,0.10724531,0.00000000,1
1.340180,0.383215,3.497203,-1.00000000,0.00000000,0.10334735,0.00000000,0.00000000,0.00000000,1.00000000,0.10334735,0.00000000,1
1.343086,0.384175,3.496031,-1.00000000,0.00000000,0.09943510,0.00000000,0.00000000,0.00000000,1.00000000,0.09943510,0.00000000,1
1.345992,0.385113,3.495059,-1.00000000,0.00000000,0.09550642,0.00000000,0.00000000,0.00000000,1.00000000,0.09550642,0.00000000,1
1.348898,0.386022,3.494352,-1.00000000,0.00000000,0.09155874,0.00000000,0.00000000,0.00000000,1.00000000,0.09155874,0.00000000,1
1.351804,0.386895,3.493977,-1.00000000,0.00000000,0.08758947,0.00000000,0.00000000,0.00000000,1.00000000,0.08758947,0.00000000,1
1.354709,0.387727,3.493978,-1.00000000,0.00000000,0.08359674,0.00000000,0.00000000,0.00000000,1.00000000,0.08359674,0.00000000,1
1.357615,0.388516,3.494364,-1.00000000,0.00000000,0.07958015,0.00000000,-0.00000000,0.00000000,1.00000000,0.07958015,0.00000000,1
1.360521,0.389265,3.495103,-1.00000000,0.00000000,0.07554089,0.00000000,0.00000000,0.00000000,1.00000000,0.07554089,0.00000000,1
1.363427,0.389981,3.496136,-1.00000000,0.00000000,0.07148114,0.00000000,-0.00000000,0.00000000,1.00000000,0.07148114,0.00000000,1
1.366333,0.390671,3.497403,-1.00000000,0.00000000,0.06740331,0.00000000,-0.00000000,0.00000000,1.00000000,0.06740331,0.00000000,1
1.369238,0.391340,3.498846,-1.00000000,0.00000000,0.06330952,0.00000000,0.00000000,0.00000000,1.00000000,0.06330952,0.00000000,1
1.372144,0.391994,3.500423,-1.00000000,0.00000000,0.05920145,0.00000000,-0.00000000,0.00000000,1.00000000,0.05920145,0.00000000,1
1.375050,0.392636,3.502103,-1.00000000,0.00000000,0.05508034,0.00000000,0.00000000,0.00000000,1.00000000,0.05508034,0.00000000,1
1.377956,0.393268,3.503861,-1.00000000,0.00000000,0.05094711,0.00000000,-0.00000000,0.00000000,1.00000000,0.05094711,0.00000000,1
1.380862,0.393893,3.505681,-1.00000000,0.00000000,0.04680242,0.00000000,0.00000000,0.00000000,1.00000000,0.04680242,0.00000000,1
1.383768,0.394511,3.507550,-1.00000000,0.00000000,0.04264676,0.00000000,0.00000000,0.00000000,1.00000000,0.04264676,0.00000000,1
1.386673,0.395125,3.509459,-1.00000000,0.00000000,0.03848049,0.00000000,0.00000000,0.00000000,1.00000000,0.03848049,0.00000000,1
1.389579,0.395733,3.511402,-1.00000000,0.00000000,0.03430387,0.00000000,-0.00000000,0.00000000,1.00000000,0.03430387,0.00000000,1
1.392485,0.396338,3.513374,-1.00000000,0.00000000,0.03011712,0.00000000,0.00000000,0.00000000,1.00000000,0.03011712,0.00000000,1
1.395391,0.396940,3.515370,-1.00000000,0.00000000,0.02592039,0.00000000,0.00000000,0.00000000,1.00000000,0.02592039,0.00000000,1
1.398297,0.397538,3.517388,-1.00000000,0.00000000,0.02171381,0.00000000,0.00000000,0.00000000,1.00000000,0.02171381,0.00000000,1
1.401202,0.398134,3.519425,-1.00000000,0.00000000,0.01749749,0.00000000,-0.00000000,0.00000000,1.00000000,0.01749749,0.00000000,1
1.404108,0.398727,3.521480,-1.00000000,0.00000000,0.01327150,0.00000000,0.00000000,0.00000000,1.00000000,0.01327150,0.00000000,1
1.407014,0.399317,3.523550,-1.00000000,0.00000000,0.00903591,0.00000000,-0.00000000,0.00000000,1.00000000,0.00903591,0.00000000,1
1.409920,0.399905,3.525635,-1.00000000,0.00000000,0.00479078,0.00000000,0.00000000,0.00000000,1.00000000,0.00479078,0.00000000,1
1.412826,0.400491,3.527734,-1.00000000,0.00000000,0.00053616,0.00000000,0.00000000,0.00000000,1.00000000,0.00053616,0.00000000,1
1.415731,0.401075,3.529845,-1.00000000,0.00000000,-0.00372791,0.00000000,0.00000000,0.00000000,1.00000000,0.00372791,0.00000000,1
1.418637,0.401656,3.531969,-1.00000000,0.00000000,-0.00800140,0.00000000,-0.00000000,0.00000000,1.00000000,0.00800140,0.00000000,1
1.421543,0.402236,3.534105,-1.00000000,0.00000000,-0.01228427,0.00000000,-0.00000000,0.00000000,1.00000000,0.01228427,0.00000000,1
1.444790,0.423567,3.411004,-1.00000000,0.00000000,-0.04111314,0.00000000,0.00000000,0.00000000,1.00000000,0.04111314,0.00000000,1
1.447695,0.424741,3.408421,-1.00000000,0.00000000,-0.04527423,0.00000000,-0.00000000,0.00000000,1.00000000,0.04527423,0.00000000,1
1.450601,0.425919,3.405816,-1.00000000,0.00000000,-0.04944279,0.00000000,-0.00000000,0.00000000,1.00000000,0.04944279,0.00000000,1
1.453507,0.427102,3.403188,-1.00000000,0.00000000,-0.05361883,0.00000000,0.00000000,0.00000000,1.00000000,0.05361883,0.00000000,1
1.456413,0.428289,3.400537,-1.00000000,0.00000000,-0.05780232,0.00000000,-0.00000000,0.00000000,1.00000000,0.05780232,0.00000000,1
1.459319,0.429481,3.397865,-1.00000000,0.00000000,-0.06199329,0.00000000,0.00000000,0.00000000,1.00000000,0.06199329,0.00000000,1
1.462224,0.430678,3.395170,-1.00000000,0.00000000,-0.06619170,0.00000000,0.00000000,0.00000000,1.00000000,0.06619170,0.00000000,1
1.465130,0.431879,3.392452,-1.00000000,0.00000000,-0.07039757,0.00000000,0.00000000,0.00000000,1.00000000,0.07039757,0.00000000,1
1.468036,0.433086,3.389713,-1.00000000,0.00000000,-0.07461089,0.00000000,-0.00000000,0.00000000,1.00000000,0.07461089,0.00000000,1
1.470942,0.434297,3.386950,-1.00000000,0.00000000,-0.07883165,0.00000000,-0.00000000,0.00000000,1.00000000,0.07883165,0.00000000,1
1.473848,0.435513,3.384166,-1.00000000,0.00000000,-0.08305984,0.00000000,0.00000000,0.00000000,1.00000000,0.08305984,0.00000000,1
1.476754,0.436734,3.381359,-1.00000000,0.00000000,-0.08729547,0.00000000,0.00000000,0.00000000,1.00000000,0.08729547,0.00000000,1
1.479659,0.437960,3.378529,-1.00000000,0.00000000,-0.09153853,0.00000000,-0.00000000,0.00000000,1.00000000,0.09153853,0.00000000,1
1.482565,0.439190,3.375677,-1.00000000,0.00000000,-0.09578901,0.00000000,0.00000000,0.00000000,1.00000000,0.09578901,0.00000000,1
1.485471,0.440426,3.372802,-1.00000000,0.00000000,-0.10004691,0.00000000,0.00000000,0.00000000,1.00000000,0.10004691,0.00000000,1
1.488377,0.441667,3.369905,-1.00000000,0.00000000,-0.10431223,0.00000000,0.00000000,0.00000000,1.00000000,0.10431223,0.00000000,1
1.491283,0.442913,3.366986,-1.00000000,0.00000000,-0.10858496,0.00000000,0.00000000,0.00000000,1.00000000,0.10858496,0.00000000,1
